track_name,artist_name,album_name,duration_minutes,spotify_url
Heal Within,Epic Soundscapes,Epic Water & Harp - vol.2,2:49,https://open.spotify.com/track/5ovTknAFzTSteugcDv6rP0
Epical Adventure,Audiosphere,Epic & Cinematic,1:57,https://open.spotify.com/track/52gISxVHLBsul0MNjKfoHu
Epic Adventure,Richard Philip Birdsall,Space & Planet Earth,2:43,https://open.spotify.com/track/47ZSua5WiJ5Ai7dQRKNVyT
Classical Epic,Mapa,Epic,2:20,https://open.spotify.com/track/3memYKr6TQa834bLImumw7
Orchestra Drama,Ambient Realms,"Massive Ambient Music, Vol. 2",8:43,https://open.spotify.com/track/2UL3vdKVxSGOL03BAmNuWx
Emotional Epic,StereojamMusic,Epic Uplifting Music,2:04,https://open.spotify.com/track/2ZVELk7F9iv04oacQzqvAG
Epic,RinkevichMusic,Dramatic Trailer Music,2:35,https://open.spotify.com/track/7CEXjhLevs82r4lqRD79IX
Splendor of Nature,Gabriel Saban,Splendor of Nature (Majestic and Emotional Orchestral Themes),3:16,https://open.spotify.com/track/6ZE4iolz48LoxHai1Jt17y
A Happy Medieval Town,Ambience Mastery,Epic Fantasy Adventures (Orchestral Instrumentals),1:56,https://open.spotify.com/track/6sUe7zncILM4DmuwODKrbO
Powerful Epic,Florews,Powerful Epic,2:39,https://open.spotify.com/track/6A1B6Af4dwyqtUxkBoYKZB
