track_name,artist_name,album_name,duration_minutes,spotify_url
"Dark Depths (ambient, suspense, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 4,2:56,https://open.spotify.com/track/4ckWNjA9acojSBFoddwVsD
Dark Gothic Ambient,Myers Music,Dark Gothic Ambient,9:47,https://open.spotify.com/track/2ws6kNhcXQTuunftYY1ZI6
Ambient Emotional Cinematic,Romansenykmusic,Soft Cinematic Soundtracks,2:15,https://open.spotify.com/track/3iRW391RwTm8QN9jSqjwmQ
Inexhaustible Savagery,Conquering Dystopia,Conquering Dystopia,4:05,https://open.spotify.com/track/22emo3taK1vd0ZtVJG8Uxo
Instrumental Dark Academia,Study Music Project,Dark Academia Study Music for Night Time Readers,0:56,https://open.spotify.com/track/3Gmw7pqqbXL191U25U2JvI
Deep Shadow - Extended Version,T.T.L.,Deep Shadow (Extended Version),4:09,https://open.spotify.com/track/1GDVzNP7IKsOEv5puqkohD
The Global Plan,Ayden George,Soundtrack to a Dystopia,2:40,https://open.spotify.com/track/5EzucbY0UIIjsVBNtE9Xe2
Dystopia Foretold,Andromida,Dystopia Foretold,4:03,https://open.spotify.com/track/58PQ2am5WAFcD5dhbVoZti
Shivering Expanse (suspenceful ambience),Tabletop Rpg Music,Tabletop RPG Music: Volume 2,2:33,https://open.spotify.com/track/5wZPLODS7toYMrSqZE0teT
Creepy Ambiance 2,Rik Schaffer,Vampire: The Masquerade - Bloodlines (Original Soundtrack),3:38,https://open.spotify.com/track/4j2nVMByR6yY7OhdJkrIQs
Onyx,Apocryphos,Onyx,6:24,https://open.spotify.com/track/3nR3JrWpvUldgld0pFBBZq
Apocalypse - Instrumental,Necatidemirr,Apocalypse (Instrumental),4:22,https://open.spotify.com/track/4PHbuEAJXBCYYaxYzpg69t
Finding Lost Items From Before the Apocalypse,Ambience Mastery,Post Apocalyptic City Ambience,5:19,https://open.spotify.com/track/0IvZXpsmkjfRQbKyXTL9rC
Futuristic Apartment Vibes,Ambience Mastery,Cyberpunk City Night Ambience,5:33,https://open.spotify.com/track/1DleGrcjz2Kfk6TLcv9cd8
Dystopia,Dystopian Voyager,Dystopia,2:30,https://open.spotify.com/track/5Gc0hrYDxMEAMA1FQpuHAv
The Edge Of The Abyss,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,1:50,https://open.spotify.com/track/2j98KA3VL4GxCfGluOkrsX
Running Through Futuristic Streets,Ambience Mastery,Epic Dark Sci-Fi Ambient Music,5:11,https://open.spotify.com/track/3X6I7pO7q0oqVWhUDZ4j7s
State of Dystopia - Instrumental Version,Of Men And Wolves,State of Dystopia,4:20,https://open.spotify.com/track/6fT3nZx0ikIPOyjEYCXrov
Quarantine Zone,Sabled Sun,2149,4:09,https://open.spotify.com/track/5kL5WZAgtfLA5mftbGAa1N
Pure Calmness Among a Futuristic Landscape,Ambience Mastery,Epic Dark Sci-Fi Ambient Music,5:21,https://open.spotify.com/track/51W9uW4ipusJIxnxVq0jCz
Atmospheric Background,Space Radiance,Ambient Space Music,1:03,https://open.spotify.com/track/7yvgHgfDy9kp9aeon8SdsW
Doomsday Clock,Conquering Dystopia,Conquering Dystopia,2:15,https://open.spotify.com/track/0FjZ30ReH1DZ3kDPF0SrLl
Doomsday,Survival Spheres,Selection 3 (Save Room Ambience),9:59,https://open.spotify.com/track/4huqTVONd0slmpqi9XxDpp
"The Tomb (ambient, suspense, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 4,3:21,https://open.spotify.com/track/0p9dvxUM8Jm1EVW8ox8ber
"Evil's Approach (suspense, ambient, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 5,4:18,https://open.spotify.com/track/0yotehfWmAaF3rrAgJTGV0
Dismember,Jameson Nathan Jones,Signals,5:41,https://open.spotify.com/track/0ukYDicFDuPxzIygrIlZhE
Futuristic City Rainy Day Ambience,Sounds of Planet Earth,Night City Living Sounds,5:00,https://open.spotify.com/track/71HREGnDmndXzx82V42cS4
Systemic Decomposition,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,3:39,https://open.spotify.com/track/6qODXMoTDXaic4CuLM0LiP
Prelude to Obliteration,Conquering Dystopia,Conquering Dystopia,4:38,https://open.spotify.com/track/0BWQERhHpB2gwasiu3SnoS
Revelation,Ross Bugden,Selected Tracks 2 (2017-2019),2:25,https://open.spotify.com/track/1iqsXrf9bv59sGeiJUmS4a
Cityscapes,Lost Stargates,Future Dystopia,2:55,https://open.spotify.com/track/4oiGrMBUxm2HLe7Gy6JkWa
Autarch,Conquering Dystopia,Conquering Dystopia,5:06,https://open.spotify.com/track/7MksGQ2fnP3TjWYAZQcg8k
Ambient Instrumental Theme,Ambient Sound Center,"Dramatic Ambient - Gothic Dark Fantasy Ambient, Sad & Somber Background",3:39,https://open.spotify.com/track/6jX3ZxbLz7mHzY7GMVa6LG
Dystopia - Instrumental,IAMONE,Dystopia (Instrumental),4:14,https://open.spotify.com/track/3xeJCnUPfvpoVoL5jAbuE2
Rays of Light Among Abandoned Buildings,Ambience Mastery,Post Apocalyptic City Ambience,5:28,https://open.spotify.com/track/4LxupuUEMSpUDqzemW0szh
Late Daytime Quietness,Ambience Mastery,Post Apocalyptic City Ambience,5:07,https://open.spotify.com/track/1roohSisGP4rhkDQ5Y4Oiw
Lonely World Freedom,Ambience Mastery,Post Apocalyptic City Ambience,5:26,https://open.spotify.com/track/2pClRaxe0BISCYIZlKJz8g
Infiltration Success,Ambience Mastery,Cyberpunk City Night Ambience,5:16,https://open.spotify.com/track/1c2e0rInXYnYFtwHDT7nD0
Resting After an Epic Quest,Ambience Mastery,Cyberpunk City Night Ambience,5:31,https://open.spotify.com/track/6rgUoxrQ3YSt1Mp5Fl5Nkf
Dark Ambient Horror,Horror Music,Alien Abduction,1:07,https://open.spotify.com/track/4hEhhIgE31SAhMvuN7cZyH
Underground Signals,Ritual Echoes,Last Survivor: Apocalyptic Ambience,2:28,https://open.spotify.com/track/2WrCGlyuHyRO5zxsudIVKt
Dark Ambiance (Dark Dungeon RPG),Dark RPG Music,Dungeons and Catacombs Dark Music,8:44,https://open.spotify.com/track/3F6VcTZ41QLQj2rgJgtOD3
Scary Piano Atmosphere Drone,Bobby Cole,Your Deepest Nightmares: Scary Horror Music,3:08,https://open.spotify.com/track/5KOwuaBryEiNnYQl2ze64d
Suspense Background Music,Power Music Factory,Power Music Factory,3:33,https://open.spotify.com/track/1Llg4JaMVMTt0XkSOdsgBp
Robotic Calm,Ambience Mastery,Cyberpunk City Night Ambience,5:25,https://open.spotify.com/track/6k8e2AHjbgwFfHvcjXDQQy
Wading Through The Bodies,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,2:05,https://open.spotify.com/track/6BAh48MY7cmAWTqoZ8D3k1
"Gothic Lands (exploration, ambient, suspense)",Tabletop Rpg Music,Tabletop RPG Music: Volume 5,2:55,https://open.spotify.com/track/6wv3e2ePHYuyNPZvFU1qCP
Murder/Suicide,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,5:14,https://open.spotify.com/track/6hNSz3qKA726OcqQIs5zFJ
Steep Encounters,Nylonia,It Must Be Now,2:16,https://open.spotify.com/track/5x0k0RPKJN0awuacmh2Onu
Emotional Dramatic Background,DS Productions,Emotional Dramatic Background,2:23,https://open.spotify.com/track/0ui7wPTK4LxepNGJZkHGDs
Follow the Fahr,Daniel L.K. Caldwell,Prospect (Original Motion Picture Soundtrack),3:36,https://open.spotify.com/track/0GvcdP3zoWtZCGchzZi1to
The Creeping Halls,Ambient Realms,"Massive Ambient Music, Vol. 6",4:27,https://open.spotify.com/track/5e8vSDnE2r58WtQcCLeOxn
Creepy Soundscapes,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",4:45,https://open.spotify.com/track/6h9yPo4uEVgMAJ8HASVFVI
Dark Dystopian Ambient,Rafael Krux,Dark Dystopian Ambient,4:09,https://open.spotify.com/track/5GMktAWXiNM3CdWTJYnK75
Sunshine in the Apocalypse,Ambience Mastery,Post Apocalyptic City Ambience,5:17,https://open.spotify.com/track/35skegKmkkKAOrC8NpkLIb
