track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Ouverture,Dark Sanctuary,Exaudi Vocem Meam I,2008-06-09,4Sk5RrB6fSe9tzvWnlSkdB,https://open.spotify.com/track/4Sk5RrB6fSe9tzvWnlSkdB,suspenseful ominous eerie
Ambient Suspenseful Background (Original Motion Picture Soundtrack),Acoustic Instrumental Vibes,Ambient Suspenseful Background (Original Motion Picture Soundtrack),2022-10-18,1M6GOFvY9YviLMRlTUZm1V,https://open.spotify.com/track/1M6GOFvY9YviLMRlTUZm1V,suspenseful ominous eerie
Dark Ambient,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",2020-01-13,7k4XRuYWSKR9aNVbV9dCh4,https://open.spotify.com/track/7k4XRuYWSKR9aNVbV9dCh4,suspenseful ominous eerie
Mysterious Swamp Lands,Ambient Realms,"Massive Ambient Music, Vol.3",2016-01-14,4kL7dtu4jDTsiG2WB5VaEg,https://open.spotify.com/track/4kL7dtu4jDTsiG2WB5VaEg,suspenseful ominous eerie
Creepy Ambiance 2,Rik Schaffer,Vampire: The Masquerade - Bloodlines (Original Soundtrack),2019-10-25,4j2nVMByR6yY7OhdJkrIQs,https://open.spotify.com/track/4j2nVMByR6yY7OhdJkrIQs,suspenseful ominous eerie
Gothic Style,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",2020-01-13,7bdKDW2FlULw5lveXzESjp,https://open.spotify.com/track/7bdKDW2FlULw5lveXzESjp,suspenseful ominous eerie
October Atmosphere,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",2017-10-13,0QXUTBLWSRlwyankLlPi6v,https://open.spotify.com/track/0QXUTBLWSRlwyankLlPi6v,suspenseful ominous eerie
Dark Forest,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,5LYl1xi3941tugJr1GML1Y,https://open.spotify.com/track/5LYl1xi3941tugJr1GML1Y,suspenseful ominous eerie
Evil background Songs,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",2017-10-13,6jKhevpgl5oiS5shFgutO6,https://open.spotify.com/track/6jKhevpgl5oiS5shFgutO6,suspenseful ominous eerie
Scary Ambient Music,Halloween Music,Halloween Songs for Kids,2018-10-02,4ibLqd8ehG6R4d4DpiD040,https://open.spotify.com/track/4ibLqd8ehG6R4d4DpiD040,suspenseful ominous eerie
Creepy Violin,Tihomir Hristozov,Creepy Strings,2022-04-01,6qlxWYUdzPXT9gs7RWfZK3,https://open.spotify.com/track/6qlxWYUdzPXT9gs7RWfZK3,suspenseful ominous eerie
Silent Crisis,Gothic Storm,Enigma - Emotional Chamber Thrillers,2020-03-08,38rOOAguVZnQyIUeJDDHEd,https://open.spotify.com/track/38rOOAguVZnQyIUeJDDHEd,suspenseful ominous eerie
Horror Background Ambience,Luca Francini,Darkness,2024-02-13,5nsnpWOCNK2pXIMUCex3Rb,https://open.spotify.com/track/5nsnpWOCNK2pXIMUCex3Rb,suspenseful ominous eerie
Ambient Scare,Scary Sounds,A Creepy Atmosphere Is Here: Halloween 2020,2020-11-03,7uc3haZHq3oqcvBLokiLjL,https://open.spotify.com/track/7uc3haZHq3oqcvBLokiLjL,suspenseful ominous eerie
No Clues,Gothic Storm,Enigma - Emotional Chamber Thrillers,2020-03-08,1C4jZAC6Lt7ClSpboErGtJ,https://open.spotify.com/track/1C4jZAC6Lt7ClSpboErGtJ,suspenseful ominous eerie
Spooky Forest,Scary Halloween Night Ambient,"Dark Background Music for Scary Halloween Night: Creepy Sounds, Demonic Vibe, Spooky Forest, Haunted Soul",2021-10-13,3JLFgs1cia7EmvhP7YDaXv,https://open.spotify.com/track/3JLFgs1cia7EmvhP7YDaXv,suspenseful ominous eerie
The Crypt,Ambient Realms,"Massive Ambient Music, Vol. 2",2015-02-23,2fSDq6j41lgcJN3UDrr7Ki,https://open.spotify.com/track/2fSDq6j41lgcJN3UDrr7Ki,suspenseful ominous eerie
Thunderstorm in the Forest: Spooky Night,Horror Music Collection,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,3ELqR51Fk9YdKUZlXiFP10,https://open.spotify.com/track/3ELqR51Fk9YdKUZlXiFP10,suspenseful ominous eerie
Ominous,Philip Ayers,Judgement Calling,2017-07-07,7AsN57t78mEhVrLymR5M4o,https://open.spotify.com/track/7AsN57t78mEhVrLymR5M4o,suspenseful ominous eerie
Lonesome Halls of Ruin,Dead Melodies,The Foundations of Ruin,2018-05-08,2Xqku7rH3e7fhBfDUsOTYz,https://open.spotify.com/track/2Xqku7rH3e7fhBfDUsOTYz,suspenseful ominous eerie
Dark Hollow Forest,Ambient Realms,"Massive Ambient Music, Vol. 5",2019-01-01,3L3YABCgCEXH6ZaPEBxQ6X,https://open.spotify.com/track/3L3YABCgCEXH6ZaPEBxQ6X,suspenseful ominous eerie
Ambient Instrumental Theme,Sexy Erotic Halloween,"Evil Music - Mysterious, Macabre Ambient",2019-06-11,3taOUSp6gNsGP4Y1VTjMzy,https://open.spotify.com/track/3taOUSp6gNsGP4Y1VTjMzy,suspenseful ominous eerie
Creepy Soundscapes,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",2020-01-13,6h9yPo4uEVgMAJ8HASVFVI,https://open.spotify.com/track/6h9yPo4uEVgMAJ8HASVFVI,suspenseful ominous eerie
Dark Ambient Horror,Horror Music,Alien Abduction,2022-03-16,4hEhhIgE31SAhMvuN7cZyH,https://open.spotify.com/track/4hEhhIgE31SAhMvuN7cZyH,suspenseful ominous eerie
Scary Piano Atmosphere Drone,Bobby Cole,Your Deepest Nightmares: Scary Horror Music,2018-10-29,5KOwuaBryEiNnYQl2ze64d,https://open.spotify.com/track/5KOwuaBryEiNnYQl2ze64d,suspenseful ominous eerie
Ambient Background,AndrisMusic,Relaxation Albums,2021-02-24,48Ya0OxSFUsftxDh24Yg68,https://open.spotify.com/track/48Ya0OxSFUsftxDh24Yg68,suspenseful ominous eerie
Ambient Tension,David Johanns,Ambient Tension: Deep Relaxation,2015-01-03,2BQpSEzo6YMiDYzteel7jS,https://open.spotify.com/track/2BQpSEzo6YMiDYzteel7jS,suspenseful ominous eerie
Creepy Hospital Ambient Sounds,Haunting Ambience,Paranormal Ambience & Spooky Night Atmosphere,2025-09-12,5wCtTCBTVUPwJ0sjGIWCVK,https://open.spotify.com/track/5wCtTCBTVUPwJ0sjGIWCVK,suspenseful ominous eerie
Eldritch Prophecy (spooky ambience),Tabletop Rpg Music,Tabletop RPG Music: Volume 2,2021-01-04,3cprq30cfrZMcdSqGqUvYI,https://open.spotify.com/track/3cprq30cfrZMcdSqGqUvYI,suspenseful ominous eerie
Dark Gothic Ambient,Myers Music,Dark Gothic Ambient,2023-10-31,2ws6kNhcXQTuunftYY1ZI6,https://open.spotify.com/track/2ws6kNhcXQTuunftYY1ZI6,suspenseful ominous eerie
Eerie Background Music For Halloween,Halloween Music Masters,Halloween Music & Scary Sounds: Scary Music For Halloween Night and Haunted House Music,2018-08-20,5inOfsGXFAh9ASQogUDFn8,https://open.spotify.com/track/5inOfsGXFAh9ASQogUDFn8,suspenseful ominous eerie
Ambient Emotional Cinematic,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,3iRW391RwTm8QN9jSqjwmQ,https://open.spotify.com/track/3iRW391RwTm8QN9jSqjwmQ,suspenseful ominous eerie
Haunted Dungeon,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,54ii7InC79rT0l5lo3bn8R,https://open.spotify.com/track/54ii7InC79rT0l5lo3bn8R,suspenseful ominous eerie
Bittersweet Epilogue,Gothic Storm,Enigma - Emotional Chamber Thrillers,2020-03-08,7AKOQaTbq8rL6qK7k5QBUV,https://open.spotify.com/track/7AKOQaTbq8rL6qK7k5QBUV,suspenseful ominous eerie
A Dark Discovery,Kevin Roy Kerrigan,Spooky & Scary,2019-05-30,2T1w8wKmmOlNWeqAAgEtKV,https://open.spotify.com/track/2T1w8wKmmOlNWeqAAgEtKV,suspenseful ominous eerie
"Enchanted Lands, Vol. I",The Guild of Ambience,"Enchanted Lands, Vol. I",2017-01-03,7y1Tcd50q87U8bIOA9Stda,https://open.spotify.com/track/7y1Tcd50q87U8bIOA9Stda,suspenseful ominous eerie
Spark,Gothic Storm,Enigma - Emotional Chamber Thrillers,2020-03-08,0GlnDuz2qbsjwitUp7UXrq,https://open.spotify.com/track/0GlnDuz2qbsjwitUp7UXrq,suspenseful ominous eerie
Exit,Adam S Hurst,Ruin,2008-01-01,6dZd6lT8OdEAZSjytQQ4pM,https://open.spotify.com/track/6dZd6lT8OdEAZSjytQQ4pM,suspenseful ominous eerie
Dragons Lair,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,5XFNMnXclIa7lpsEKZb9t8,https://open.spotify.com/track/5XFNMnXclIa7lpsEKZb9t8,suspenseful ominous eerie
Ghosts of the Past,Gothic Storm,Enigma - Emotional Chamber Thrillers,2020-03-08,6HFhYoZArqJmCrrU8pxXu4,https://open.spotify.com/track/6HFhYoZArqJmCrrU8pxXu4,suspenseful ominous eerie
Scary Forest,Lost & Sound,Mystical Forest at Night,2020-05-17,6LfNKPDADSRJQsyRJeeXjm,https://open.spotify.com/track/6LfNKPDADSRJQsyRJeeXjm,suspenseful ominous eerie
Scary Atmosphere,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",2020-01-13,3jQZGOMBLkTYY7beFwubax,https://open.spotify.com/track/3jQZGOMBLkTYY7beFwubax,suspenseful ominous eerie
Instrumental - #1,Mount Eerie,Ocean Roar,2012-08-29,7123pW7arDQDF4NKPt6I5A,https://open.spotify.com/track/7123pW7arDQDF4NKPt6I5A,suspenseful ominous eerie
