track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Haunted Forest House,Mystical Soundscapes,Haunted Forest House,2023-11-02,1blntrnwLAuXFYUWynWL3m,https://open.spotify.com/track/1blntrnwLAuXFYUWynWL3m,eerie ominous haunting
Terrible Afraid,Spooky Music,Atmospheric Spooky Music,2024-12-09,52S01Q9E7UKt6NjvOXTi10,https://open.spotify.com/track/52S01Q9E7UKt6NjvOXTi10,eerie ominous haunting
Follow the Clues,Burcu Gönül,"Dark Academia, Vol I",2021-05-05,0MeYp24YT1Ofr1CmEceTtv,https://open.spotify.com/track/0MeYp24YT1Ofr1CmEceTtv,eerie ominous haunting
"Ambience, Fantasy Dream Atmosphere, Pleasant Feeling, Electronic, Fantasy Ambiences",Sound Effects Library,Magical: Sound Effects,2012-05-15,3JAX0KzzyOoVmxr7XybZWO,https://open.spotify.com/track/3JAX0KzzyOoVmxr7XybZWO,eerie ominous haunting
Horrifying Experience,Scary Halloween Night Ambient,"Haunted Toy Store: Creepy Old Piano, Scary Music Box, Nightmarish Toymaker, Spooky Halloween Ambience",2023-08-21,3XvEcZPkZUuyUqUB0z4yJw,https://open.spotify.com/track/3XvEcZPkZUuyUqUB0z4yJw,eerie ominous haunting
The Witching Hour,Ambient Realms,"Massive Ambient Music, Vol.3",2016-01-14,7fNHdpV4F5KEfwbo06058A,https://open.spotify.com/track/7fNHdpV4F5KEfwbo06058A,eerie ominous haunting
Haunted Subway,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,0zm5GiXmcoqEk7zpuKvUEW,https://open.spotify.com/track/0zm5GiXmcoqEk7zpuKvUEW,eerie ominous haunting
Lost Time,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,7Jv51zecCYl6qvgj2T5STY,https://open.spotify.com/track/7Jv51zecCYl6qvgj2T5STY,eerie ominous haunting
terrifying killer instrumental,Halloween Sounds Collective,Scary Graveyard Sounds,2023-02-07,0YFen2dgMmG2Jjee60Xgyn,https://open.spotify.com/track/0YFen2dgMmG2Jjee60Xgyn,eerie ominous haunting
Eternal Darkness,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,0Zbf74e7s2G8ecOLOIKOmV,https://open.spotify.com/track/0Zbf74e7s2G8ecOLOIKOmV,eerie ominous haunting
Fear,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,7xFdmSGvGLEduq8K20IDnF,https://open.spotify.com/track/7xFdmSGvGLEduq8K20IDnF,eerie ominous haunting
Dark Descent Dark Ambient Horror Soundtrack - Sinister Music for Creating Suspense,DJ RIHAYEM,Dark Ambient Horror Music - Haunting Soundscapes for Fearful Edits,2024-09-11,5TgUZkIAZZul2EkqTyHQ6b,https://open.spotify.com/track/5TgUZkIAZZul2EkqTyHQ6b,eerie ominous haunting
darkening sky,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",2017-10-13,4UKENHcxfWJ6MMd4bW4BBI,https://open.spotify.com/track/4UKENHcxfWJ6MMd4bW4BBI,eerie ominous haunting
Dark Halls Two,Ambient Realms,"Massive Ambient Music, Vol. 6",2020-03-17,3qlvrTlX8BdAkBM9ItFQOt,https://open.spotify.com/track/3qlvrTlX8BdAkBM9ItFQOt,eerie ominous haunting
Ominous Darkness,Ambient Realms,"Massive Ambient Music, Vol. 4",2016-08-18,5xCTS9BNEVLDWXgiswhaPu,https://open.spotify.com/track/5xCTS9BNEVLDWXgiswhaPu,eerie ominous haunting
Haunted Graveyard Atmosphere,Haunted House Background Noise,Creepy Haunted Background Ambience,2025-10-13,40rJakEp61JS0vFoOmFTeQ,https://open.spotify.com/track/40rJakEp61JS0vFoOmFTeQ,eerie ominous haunting
Dark Fairy Tales,Ambience Mastery,Witch Magic Ambience,2022-12-09,4QYg1zyCpzMIhExLVxSTsb,https://open.spotify.com/track/4QYg1zyCpzMIhExLVxSTsb,eerie ominous haunting
Terrifying Cauldron,Spooky Music,Atmospheric Spooky Music,2024-12-09,5xuYrF43iP8MCmGNdNQ45f,https://open.spotify.com/track/5xuYrF43iP8MCmGNdNQ45f,eerie ominous haunting
Haunting Depths,Depthscape,Haunting Depths,2024-03-28,5SYqUD9S3cNOi8c2BVehMg,https://open.spotify.com/track/5SYqUD9S3cNOi8c2BVehMg,eerie ominous haunting
Haunted Mansion,Michael Ghelfi,"Rpg / D&d Ambiences and Atmospheres, Vol. 6, Pt. 2",2020-12-24,3SLSjBZoI743p3uNMsyFXP,https://open.spotify.com/track/3SLSjBZoI743p3uNMsyFXP,eerie ominous haunting
Eerie Soundscape Music Bed SFX,Scary Horror Soundscape Factory,"Horror Soundscapes, Haunted House Sound Effects",2011-04-21,5Ry8NpvnXgKLDEuHCDO8o7,https://open.spotify.com/track/5Ry8NpvnXgKLDEuHCDO8o7,eerie ominous haunting
Nightmare Forest Ambience with Spooky Calls,Halloween Sounds,240 Halloween Sounds,2007-07-19,0nMZjZmKchszOPxXA7epEl,https://open.spotify.com/track/0nMZjZmKchszOPxXA7epEl,eerie ominous haunting
October 31st,Halloween Party Album Singers,"Eerie Halloween Music: Spooky Instrumental Background Music for Halloween Parties, Dreadful Freights, Ominous Ambient Dark Music",2020-10-26,6DbSf6S9HHIEmxCDpAChjO,https://open.spotify.com/track/6DbSf6S9HHIEmxCDpAChjO,eerie ominous haunting
Horror Piano Music,Halloween Masters,"Halloween Sounds: Free Halloween Music, Ambient Background Music with Suspense",2016-10-17,3vtlHJZ2WCTGqMRhPI3OpW,https://open.spotify.com/track/3vtlHJZ2WCTGqMRhPI3OpW,eerie ominous haunting
Haunted Atmosphere,Morphia Productions,Dark & Terrifying Scores,2018-06-01,2IKOeqs93tMy6trFTAaqDQ,https://open.spotify.com/track/2IKOeqs93tMy6trFTAaqDQ,eerie ominous haunting
The Haunted Keep,Ambient Realms,"Massive Ambient Music, Vol. 4",2016-08-18,6Kv9FVJgcz6UUoUia4Hsqt,https://open.spotify.com/track/6Kv9FVJgcz6UUoUia4Hsqt,eerie ominous haunting
Melodies of Horror,Scary Halloween Music,Abandoned Church: Halloween Organ Music with Rain and Thunderstorm,2021-10-14,62HHywCfkH15cXvcsrLK4b,https://open.spotify.com/track/62HHywCfkH15cXvcsrLK4b,eerie ominous haunting
Haunted Mansion Ambience,Horror Nightmare,"Haunted House Music: Haunted Mansion Ambience, Scary Halloween Background Music",2020-10-02,7hZ42Sll9LICCHmhnWd4pN,https://open.spotify.com/track/7hZ42Sll9LICCHmhnWd4pN,eerie ominous haunting
Horror Movies Night,Sexy Erotic Halloween,"Evil Music - Mysterious, Macabre Ambient",2019-06-11,7GJinmq7a8T5cwDjdVdfr3,https://open.spotify.com/track/7GJinmq7a8T5cwDjdVdfr3,eerie ominous haunting
Restless Atmospheres,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",2017-10-13,1FklVYVqsAr9zwoUwr55Jm,https://open.spotify.com/track/1FklVYVqsAr9zwoUwr55Jm,eerie ominous haunting
Lost Path: Haunted Forest pt. 2,Halloween Effects Horror Library,"Creepy Halloween Atmospheres: Scary Horror Ambient for Spooky Night (Haunted Forest, Graveyard, Catacombs)",2021-10-14,58f6kusEBU8w2NzHhchMIz,https://open.spotify.com/track/58f6kusEBU8w2NzHhchMIz,eerie ominous haunting
Creepy Ambience for Horror,Halloween FX Productions,Haunter Forest Ambient,2024-09-16,52xwkJ3KasQfywfb3ROadT,https://open.spotify.com/track/52xwkJ3KasQfywfb3ROadT,eerie ominous haunting
Ghost Trails,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,2gaOhbzxGhFkBDgDRg7GdO,https://open.spotify.com/track/2gaOhbzxGhFkBDgDRg7GdO,eerie ominous haunting
Creepy Thunderstorm,Halloween Spirit,Abandoned Church: Halloween Organ Music with Rain and Thunderstorm,2021-10-14,66WctWqprdG1JWDI7kjVwu,https://open.spotify.com/track/66WctWqprdG1JWDI7kjVwu,eerie ominous haunting
Dark Atmospheres,Halloween Spirit,Dark Halloween Music 2020,2020-10-17,1DTJLkJHMRrcekWcQ6Tqfw,https://open.spotify.com/track/1DTJLkJHMRrcekWcQ6Tqfw,eerie ominous haunting
666 - Satanic Music,The Darker Star,"Dark Ambient Music - Nature Sounds, Creepy Soundscapes with Rain Background Sound",2015-10-22,4GCZpmX2FhZafotiAHiI6g,https://open.spotify.com/track/4GCZpmX2FhZafotiAHiI6g,eerie ominous haunting
Alone in the Haunted Forest,Halloween Effects Horror Library,"Demonic Wolves Sounds: Halloween Scary Ambient Music, Haunted Forest by Night, Attack of the Werewolf",2021-10-14,0uonNoJKPhUf2sGe5DVWSP,https://open.spotify.com/track/0uonNoJKPhUf2sGe5DVWSP,eerie ominous haunting
Sleep Deeply,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",2017-10-13,2HGTsmTSjA1Cb1przTLMgl,https://open.spotify.com/track/2HGTsmTSjA1Cb1przTLMgl,eerie ominous haunting
Deep Exploration,Dark Ambient Creator,"Dark Ambient Drones for Relaxing, Dreaming, Chilling and Tripping, Vol. 1",2015-08-31,0ORfEwTrMHJpAv25nYJxoi,https://open.spotify.com/track/0ORfEwTrMHJpAv25nYJxoi,eerie ominous haunting
Hidden Darkness,Ambience Mastery,Foggy Day Ambience,2022-04-08,3UyKAWgTnNSUmBAb4IyTgF,https://open.spotify.com/track/3UyKAWgTnNSUmBAb4IyTgF,eerie ominous haunting
Gothic Organ,Halloween Spirit,Abandoned Church: Halloween Organ Music with Rain and Thunderstorm,2021-10-14,3TGKggGRJsa8nRSM4MiKtb,https://open.spotify.com/track/3TGKggGRJsa8nRSM4MiKtb,eerie ominous haunting
LM-117,Marcus Fjellström,Library Music 1,2011-04-25,3YUkgH2DNdVfoHF3GGFL8G,https://open.spotify.com/track/3YUkgH2DNdVfoHF3GGFL8G,eerie ominous haunting
Gothic Piano Sounds (New Age Dark Music),Horror Nightmare,Friday 13th - Horror Music and Satanic Sounds 4 Scary Friday the 13th,2014-04-12,1bJFVEM1wk0RcfOxpIkavq,https://open.spotify.com/track/1bJFVEM1wk0RcfOxpIkavq,eerie ominous haunting
Bad Dream,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,0gCFotjhmAlu6SHkL3r2uS,https://open.spotify.com/track/0gCFotjhmAlu6SHkL3r2uS,eerie ominous haunting
Forest of Darkness,Horror Music Collection,"Night in Haunted Forest: Creepy Halloween Music, Dark Ambient Horror Sound Effects",2021-09-28,2XcyBifYxxjJjbyOhTwqJd,https://open.spotify.com/track/2XcyBifYxxjJjbyOhTwqJd,eerie ominous haunting
Shades of Night,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,6dh1N9To0CPhNiZW5p89w5,https://open.spotify.com/track/6dh1N9To0CPhNiZW5p89w5,eerie ominous haunting
Scary Halloween Background Music,Horror Nightmare,"Haunted House Music: Haunted Mansion Ambience, Scary Halloween Background Music",2020-10-02,7nTJwOMkY8QVfPRIk7zN5j,https://open.spotify.com/track/7nTJwOMkY8QVfPRIk7zN5j,eerie ominous haunting
