track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Trees,Thomas J. Curran,Trees,2019-01-11,1nCUEdxtL5RdZk8XHRbygr,https://open.spotify.com/track/1nCUEdxtL5RdZk8XHRbygr,atmospheric narrative evocative
Inherent to the Hill,Avith Ortega,Trail to the Past,2019-10-11,75v92mdzLvlA0mi7PZQodm,https://open.spotify.com/track/75v92mdzLvlA0mi7PZQodm,atmospheric narrative evocative
Journey,Sabled Sun,2147,2015-02-28,4grSf84GGAUQjV9MLE7SdT,https://open.spotify.com/track/4grSf84GGAUQjV9MLE7SdT,atmospheric narrative evocative
Abandoned City,Joel Schoch,Far: Changing Tides,2022-04-07,1QXw5kpi5VFza9rKZQ9ZPX,https://open.spotify.com/track/1QXw5kpi5VFza9rKZQ9ZPX,atmospheric narrative evocative
Unlocking the Seal,Atrium Carceri,The Untold,2017-10-08,3uqSqBXZtG4ePa5J7Tb2iR,https://open.spotify.com/track/3uqSqBXZtG4ePa5J7Tb2iR,atmospheric narrative evocative
Absence,Silent Cabin,Gently Veiled,2019-08-02,4bk20afFdQJ0miolUa0GgN,https://open.spotify.com/track/4bk20afFdQJ0miolUa0GgN,atmospheric narrative evocative
Across the Water,CHPTRS,Day // Night,2018-09-25,3FnyhATWR2f2PMWp2lmA2R,https://open.spotify.com/track/3FnyhATWR2f2PMWp2lmA2R,atmospheric narrative evocative
Storyteller,Holly Jones,Storyteller,2017-02-06,1KGoWENFK8QnPBBruLPGqN,https://open.spotify.com/track/1KGoWENFK8QnPBBruLPGqN,atmospheric narrative evocative
Tense Piano (Ambient Narrative),MAB Music TTRPG,Tense Piano (Ambient Narrative),2021-09-30,21pLDvC5490lzhuk3npvtt,https://open.spotify.com/track/21pLDvC5490lzhuk3npvtt,atmospheric narrative evocative
Memoirs,The Ambientalist,Memoirs,2020-11-27,6nOHFvP5gHSQcITlpTx0O8,https://open.spotify.com/track/6nOHFvP5gHSQcITlpTx0O8,atmospheric narrative evocative
Storyteller,Hans Johnson,Awake,2020-04-22,2e7O9XgkqUyk2PVcYYPqOW,https://open.spotify.com/track/2e7O9XgkqUyk2PVcYYPqOW,atmospheric narrative evocative
Ethereal Cinematic Ambient,Rafael Krux,The Universe Dreams in Strings,2021-02-01,3pBbfmxEHEOih4q0rfUv0H,https://open.spotify.com/track/3pBbfmxEHEOih4q0rfUv0H,atmospheric narrative evocative
Reverse Piano Ambient Heaven,Bobby Cole,Evocative Cinematic Symphony,2018-10-29,2uetbc8QLih7v8u1K2j7fC,https://open.spotify.com/track/2uetbc8QLih7v8u1K2j7fC,atmospheric narrative evocative
Ambient Delusion,Les Cieu,Ambient Delusion,2017-11-10,0U4IPLole7Et879mX4sTR1,https://open.spotify.com/track/0U4IPLole7Et879mX4sTR1,atmospheric narrative evocative
Atmos,Somniscape,"Calm, Vol. 2",2019-04-16,6zrQS0vc9YcLY5ttLjDWQ7,https://open.spotify.com/track/6zrQS0vc9YcLY5ttLjDWQ7,atmospheric narrative evocative
Inspirational Piano Background,makesound music,Cinematic Emotional Piano,2022-10-18,2rRSRgHXd0OsSQVoeXrvW7,https://open.spotify.com/track/2rRSRgHXd0OsSQVoeXrvW7,atmospheric narrative evocative
Storytelling Background,Nikitsan,Storytelling Background,2021-03-06,3rmz9VeJZOYwDFabcQ5Xju,https://open.spotify.com/track/3rmz9VeJZOYwDFabcQ5Xju,atmospheric narrative evocative
Inherent Mosaic,Eluvium,Pianoworks,2019-05-31,47B3whc15OlFTE7K5y7mjQ,https://open.spotify.com/track/47B3whc15OlFTE7K5y7mjQ,atmospheric narrative evocative
Etheric,Elephant Music,Prophet,2019-05-04,02LCzkGKc6XJmCD1KthfQb,https://open.spotify.com/track/02LCzkGKc6XJmCD1KthfQb,atmospheric narrative evocative
Exospheres: I. Prelude,SØLYS,Exospheres,2022-07-08,7EBnelKr2tdI5jsXPEYmeg,https://open.spotify.com/track/7EBnelKr2tdI5jsXPEYmeg,atmospheric narrative evocative
Druid Forest,Ambient Realms,"Massive Ambient Music, Vol.3",2016-01-14,0jDJix6qwCRyPLiybcCd8K,https://open.spotify.com/track/0jDJix6qwCRyPLiybcCd8K,atmospheric narrative evocative
"Storyteller, Pt. 1",Analog Heart,"Storyteller, Vol. 1",2022-10-31,7ifsNnnKlEsqX5qn5U7lbJ,https://open.spotify.com/track/7ifsNnnKlEsqX5qn5U7lbJ,atmospheric narrative evocative
III,Benoît Pioulard,Stanza I-III,2016-10-16,60lT2KTD7jz7RIpyYBFNsO,https://open.spotify.com/track/60lT2KTD7jz7RIpyYBFNsO,atmospheric narrative evocative
